Model,DPO2014B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.1,,,,,,,
Sample Interval,0.000256016,,,,,,,
Filter Frequency,1e+08,,,,,,,
Record Length,3906,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,100,,50,,10,,10,
Vertical Units,V,,V,,A,,A,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,50,,50,,2,,10,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-1.249e-01,-68,-60,-64,-56,-3.12,-3.04,-2.4,-1.6
-1.246e-01,-64,-66,-58,-62,-3.12,-3.2,-2.4,-2.8
-1.244e-01,-56,-44,-52,-42,-3.04,-2.88,-2,-1.6
-1.241e-01,-46,-50,-42,-46,-2.88,-3.04,-2,-2.4
-1.239e-01,-38,-28,-34,-26,-2.8,-2.64,-2,-1.6
-1.236e-01,-30,-34,-26,-28,-2.72,-2.8,-2,-2.4
-1.234e-01,-22,-10,-18,-10,-2.56,-2.32,-2,-1.2
-1.231e-01,-14,-18,-12,-14,-2.4,-2.56,-1.6,-2
-1.228e-01,-6,6,-4,4,-2.24,-2,-1.6,-1.2
-1.226e-01,2,-2,4,4.47035e-08,-2.08,-2.16,-1.6,-2
-1.223e-01,10,20,8,18,-1.84,-1.68,-1.2,-0.8
-1.221e-01,16,14,16,14,-1.68,-1.84,-1.2,-1.6
-1.218e-01,26,36,24,32,-1.44,-1.2,-0.8,-0.4
-1.216e-01,34,30,30,28,-1.28,-1.36,-0.8,-1.6
-1.213e-01,42,52,40,46,-0.96,-0.72,-0.8,1.78814e-08
-1.211e-01,50,46,46,42,-0.72,-0.8,-0.4,-0.8
-1.208e-01,58,66,52,60,-0.48,-0.16,-0.4,0.4
-1.205e-01,64,60,60,56,-0.24,-0.32,-0.4,-0.8
-1.203e-01,72,80,64,72,3.57628e-09,0.32,1.78814e-08,0.8
-1.200e-01,78,72,70,68,0.32,0.16,1.78814e-08,-0.4
-1.198e-01,82,88,74,80,0.56,0.8,0.4,0.8
-1.195e-01,88,82,80,76,0.8,0.64,0.8,1.78814e-08
-1.193e-01,90,98,82,88,1.04,1.28,0.8,1.2
-1.190e-01,96,90,84,84,1.28,1.12,0.8,0.4
-1.187e-01,98,104,88,94,1.52,1.76,0.8,1.6
